184812,1545,1026
190413,1760,1027
191418,3109,2022
197029,1497,972
198250,1939,1418
198832,1564,1761
199064,1728,1234
199301,2201,1146
199338,1408,904
202248,2991,1691
203816,2402,1406
206973,1304,774
208168,1484,882
221716,1958,1488
223666,3578,2623
224475,5159,1909
225291,2887,1618
225922,1335,1022
226871,1939,1053
230869,1628,1109
241313,3586,2149
243814,3352,2212
245769,2661,1169
246074,3937,1847
246857,2208,1198
251996,2372,1313
256065,3103,1755
257230,2259,1090
257788,3260,1728
260234,3822,2205
261215,2574,1918
277367,1691,1158
277952,3708,1898
284904,739,563
285286,1287,1190
285568,744,561
285576,800,584
285580,775,592
285581,725,576
285583,733,572
285584,738,570
285585,719,582
285589,727,573
285589,718,600
285590,725,570
285593,712,578
285595,801,576
285596,794,579
285596,711,570
285597,792,596
285603,709,566
285611,717,555
285614,732,576
285624,714,580
285627,717,560
302220,2383,1283
311958,2720,1647
313438,1379,718
319036,3488,2083
325520,2459,1251
339942,1727,860
344919,2984,1597
345631,2188,1139
352550,1993,1119
361256,4639,2833
362168,3380,1976
364768,2041,1152
377347,2803,1486
381643,2927,1773
385708,920,618
387559,2636,1840
390661,2943,1531
407651,4381,2476
411415,1787,891
414282,1801,907
414287,1777,880
419058,2470,1484
423475,1940,943
423488,1911,935
423488,1908,925
424078,1898,1003
424142,1894,923
424214,1941,949
429072,3981,2079
433681,2414,1207
464801,4987,2824
472394,3890,2197
483082,5487,2519
491089,2041,827
498624,6722,2695
503266,1796,960
597531,9405,3902
614919,9996,3808
616639,10369,4083
636502,4704,2773
640601,4100,1748
644518,4767,2126
645243,4074,1784
668510,9148,4425
670580,5196,2400
703700,3618,1885
730438,4076,1830
775739,4822,2006
783428,4020,2066
805642,6157,2195
810307,6334,2035
833585,6634,2612
840158,6408,2640
842774,4798,1961
860621,8708,2955
863129,6405,2654
891723,5990,3379
892101,8536,2961
906474,6699,3284
925319,6424,3564
930164,6998,2700
935306,8649,4266
945770,6844,2656
